Year,State,Continuum of Care (CoC),CoC Name,CoC Award Amount,,,,,,
2015,NY,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,NY-604,18422848,,,,,,
2015,NY,Rockland County CoC,NY-606,727899,,,,,,
2015,NY,Sullivan County CoC,NY-607,394588,,,,,,
2015,NY,Kingston/Ulster County CoC,NY-608,1169100,,,,,,
2015,OH,Cincinnati/Hamilton County CoC,OH-500,17982669,,,,,,
2015,OH,Toledo/Lucas County CoC,OH-501,4267657,,,,,,
2015,OH,Cleveland/Cuyahoga County CoC,OH-502,26740229,,,,,,
2015,OH,Columbus/Franklin County CoC,OH-503,12293012,,,,,,
2015,OH,Youngstown/Mahoning County CoC,OH-504,1983615,,,,,,
2015,OH,Dayton/Kettering/Montgomery County CoC,OH-505,8478888,,,,,,
2015,OH,Akron/Barberton/Summit County CoC,OH-506,4366303,,,,,,
2015,OH,Ohio Balance of State CoC,OH-507,17483191,,,,,,
2015,OH,Canton/Massillon/Alliance/Stark County CoC,OH-508,2676332,,,,,,
2015,OK,North Central Oklahoma CoC,OK-500,279491,,,,,,
2015,OK,Tulsa City & County/Broken Arrow CoC,OK-501,2736752,,,,,,
2015,OK,Oklahoma City CoC,OK-502,3507094,,,,,,
2015,OK,Oklahoma Balance of State CoC,OK-503,605541,,,,,,
2015,OK,Norman/Cleveland County CoC,OK-504,373113,,,,,,
2015,OK,Northeast Oklahoma CoC,OK-505,364189,,,,,,
2015,OK,Southwest Oklahoma Regional CoC,OK-506,116234,,,,,,
2015,OK,Southeastern Oklahoma Regional CoC,OK-507,113981,,,,,,
2015,OR,Eugene/Springfield/Lane County CoC,OR-500,3361210,,,,,,
2015,OR,Portland-Gresham-Multnomah County CoC,OR-501,19118469,,,,,,
2015,OR, Medford/Ashland/Jackson County CoC,OR-502,282942,,,,,,
2015,OR,Central Oregon CoC,OR-503,569835,,,,,,
2015,OR,Oregon Balance of State CoC,OR-505,3081444,,,,,,
2015,OR,Hillsboro/Beaverton/Washington County CoC,OR-506,3393016,,,,,,
2015,OR,Clackamas County CoC,OR-507,2087390,,,,,,
2015,PA,Philadelphia CoC,PA-500,35522132,,,,,,
2015,PA,Harrisburg/Dauphin County CoC,PA-501,1623714,,,,,,
2015,PA,Upper Darby/Chester/Haverford/Delaware County CoC,PA-502,5128363,,,,,,
2015,PA,Wilkes-Barre/Hazleton/Luzerne County CoC,PA-503,3995242,,,,,,
2015,PA,Lower Marion/Norristown/Abington/Montgomery County CoC,PA-504,2865555,,,,,,
2015,PA,Chester County CoC,PA-505,1618855,,,,,,
2015,PA,Reading/Berks County CoC,PA-506,3327453,,,,,,
2015,PA,Scranton/Lackawanna County CoC,PA-508,2588315,,,,,,
2015,PA,Eastern Pennsylvania CoC,PA-509,10803770,,,,,,
2015,PA,Lancaster City & County CoC,PA-510,2007820,,,,,,
2015,PA,Bristol/Bensalem/Bucks County CoC,PA-511,934433,,,,,,
